"Date","Price","Open","High","Low","Vol.","Change %"
"17-05-1995","757.99","757.99","757.99","757.99","","1.12%"
"16-05-1995","749.61","749.61","749.61","749.61","","-0.43%"
"15-05-1995","752.81","752.81","752.81","752.81","","-0.88%"
"12-05-1995","759.49","759.49","759.49","759.49","","-0.97%"
"10-05-1995","766.92","766.92","766.92","766.92","","-0.11%"
"09-05-1995","767.75","767.75","767.75","767.75","","0.57%"
"08-05-1995","763.40","763.40","763.40","763.40","","0.35%"
"05-05-1995","760.71","760.71","760.71","760.71","","1.91%"
"04-05-1995","746.42","746.42","746.42","746.42","","1.24%"
"03-05-1995","737.28","737.28","737.28","737.28","","0.25%"
"02-05-1995","735.44","735.44","735.44","735.44","","-3.21%"
"28-04-1995","759.82","759.82","759.82","759.82","","-1.70%"
"27-04-1995","772.98","772.98","772.98","772.98","","-1.53%"
"26-04-1995","785.02","785.02","785.02","785.02","","-0.97%"
"25-04-1995","792.74","792.74","792.74","792.74","","-1.19%"
"24-04-1995","802.30","802.30","802.30","802.30","","-1.30%"
"21-04-1995","812.85","812.85","812.85","812.85","","-0.06%"
"20-04-1995","813.30","813.30","813.30","813.30","","-0.88%"
"19-04-1995","820.54","820.54","820.54","820.54","","-1.10%"
"18-04-1995","829.67","829.67","829.67","829.67","","-1.22%"
"17-04-1995","839.89","839.89","839.89","839.89","","-0.18%"
"10-04-1995","841.44","841.44","841.44","841.44","","-0.46%"
"07-04-1995","845.32","845.32","845.32","845.32","","0.48%"
"06-04-1995","841.29","841.29","841.29","841.29","","0.90%"
"05-04-1995","833.75","833.75","833.75","833.75","","1.33%"
"04-04-1995","822.78","822.78","822.78","822.78","","0.99%"
"03-04-1995","814.74","814.74","814.74","814.74","","0.25%"
"31-03-1995","812.68","812.68","812.68","812.68","","-0.26%"
"30-03-1995","814.78","814.78","814.78","814.78","","0.03%"
"29-03-1995","814.50","814.50","814.50","814.50","","-0.67%"
"28-03-1995","819.96","819.96","819.96","819.96","","0.38%"
"27-03-1995","816.86","816.86","816.86","816.86","","0.02%"
"24-03-1995","816.66","816.66","816.66","816.66","","-0.50%"
"23-03-1995","820.79","820.79","820.79","820.79","","-1.67%"
"16-03-1995","834.72","834.72","834.72","834.72","","-0.95%"
"15-03-1995","842.73","842.73","842.73","842.73","","-1.69%"
"14-03-1995","857.25","857.25","857.25","857.25","","1.10%"
"13-03-1995","847.92","847.92","847.92","847.92","","0.45%"
"10-03-1995","844.12","844.12","844.12","844.12","","-2.24%"
