"Date","Price","Open","High","Low","Vol.","Change %"
"12-05-2020","3,878.85","3,898.35","3,905.50","3,820.40","12.05B","-0.67%"
"11-05-2020","3,904.85","3,959.45","3,971.10","3,899.70","12.16B","-0.15%"
"08-05-2020","3,910.60","3,992.15","4,005.05","3,905.80","22.58B","-0.85%"
"07-05-2020","3,944.05","3,930.50","3,965.90","3,924.30","17.59B","0.54%"
"06-05-2020","3,922.95","3,918.90","3,935.55","3,866.10","20.96B","0.67%"
"05-05-2020","3,896.75","3,990.55","4,018.90","3,895.50","15.33B","-1.26%"
"04-05-2020","3,946.35","3,987.50","3,992.65","3,932.70","13.62B","-3.23%"
"30-04-2020","4,078.00","4,124.65","4,148.50","4,068.45","19.82B","0.67%"
"29-04-2020","4,050.70","4,055.60","4,074.65","4,029.75","16.97B","0.72%"
"28-04-2020","4,021.65","4,048.50","4,054.25","3,976.95","18.87B","0.74%"
"27-04-2020","3,992.00","4,018.50","4,030.75","3,987.60","18.54B","0.82%"
"24-04-2020","3,959.60","4,010.85","4,012.85","3,947.15","15.92B","-1.95%"
"23-04-2020","4,038.15","4,006.95","4,057.45","4,000.50","16.75B","1.73%"
"22-04-2020","3,969.30","3,949.35","3,978.45","3,886.85","14.13B","0.52%"
"21-04-2020","3,948.85","4,045.20","4,046.95","3,931.85","14.69B","-3.82%"
"20-04-2020","4,105.85","4,160.15","4,161.75","4,100.05","16.29B","0.36%"
"17-04-2020","4,091.15","4,089.70","4,097.30","4,028.80","20.50B","3.35%"
"16-04-2020","3,958.50","3,868.35","3,974.55","3,844.80","16.00B","2.81%"
"15-04-2020","3,850.30","3,855.30","3,944.95","3,823.10","23.63B","1.26%"
"13-04-2020","3,802.30","3,870.85","3,874.10","3,727.00","14.82B","-0.52%"
"09-04-2020","3,822.15","3,768.75","3,827.45","3,767.40","15.01B","3.88%"
"08-04-2020","3,679.45","3,629.80","3,767.90","3,611.40","13.87B","1.79%"
"07-04-2020","3,614.60","3,609.55","3,626.00","3,566.30","11.42B","3.70%"
"03-04-2020","3,485.75","3,577.50","3,580.25","3,474.85","8.72B","-1.55%"
"01-04-2020","3,540.60","3,614.40","3,619.30","3,528.05","9.32B","-1.50%"
"31-03-2020","3,594.70","3,576.55","3,602.25","3,522.60","9.56B","3.07%"
"30-03-2020","3,487.55","3,503.10","3,541.10","3,426.50","7.30B","-2.23%"
